;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
7465;BG27007;43.1873;24.0063;KUNINO;BG27007;Bulgaria;2016-06-17 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
7475;BG27008;43.1888;24.0713;KARLUKOVO;BG27008;Bulgaria;2016-06-20 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
7484;BG27010;43.2822;24.0789;CHERVEN BRYAG;BG27010;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7932;BG27014;43.3306;24.2527;TELISH;BG27014;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7936;BG27015;43.3803;24.3444;GORNI DABNIK;BG27015;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7942;BG27016;43.4141;24.4295;DOLNI DABNIK;BG27016;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7949;BG27020;43.4342;24.5311;YASEN;BG27020;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6154;BG27022;43.43;24.5931;PLEVEN ZAPAD;BG27022;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7768;BG27030;43.4209;24.6145;PLEVEN;BG27030;Bulgaria;2016-08-15 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6173;BG27033;43.3862;24.8475;PORDIM;BG27033;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6179;BG27040;43.3513;25.1431;LEVSKI;BG27040;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7498;BG27043;43.2336;25.301;PAVLIKENI;BG27043;Bulgaria;2016-09-08 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6195;BG27047;43.1814;25.564;RESEN;BG27047;Bulgaria;2016-09-09 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7778;BG27048;43.1675;25.6201;POLIKRAJSHTE;BG27048;Bulgaria;2016-09-09 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8082;BG27202;43.473;24.5377;DOLNA MITROPOLIA;BG27202;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8085;BG27210;43.6896;24.7721;SOMOVIT;BG27210;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8087;BG27211;43.7049;24.8385;CHERKVITSA;BG27211;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5790;BG27306;43.2264;24.8441;DOYRENTSI;BG27306;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5793;BG27310;43.1373;24.7068;LOVECH;BG27310;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5808;BG27319;43.1692;24.7297;RP LOVECH SEVER;BG27319;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5799;BG27320;42.8811;24.7139;TROYAN;BG27320;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8091;BG27404;43.453;25.2064;MORAVA;BG27404;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5774;BG27406;43.5845;25.2161;ORESH;BG27406;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5782;BG27410;43.6231;25.3372;SVISHTOV;BG27410;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7032;BG29000;43.3117;27.167;KASPICHAN;BG29000;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7476;BG29010;43.1899;27.4382;PROVADIA;BG29010;Bulgaria;2016-11-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
